condsFile,readyMsg,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,image.started,image.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_2.started,text_2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/5549_5.png,0,0,0,0,0,31,31,29,,,186.54566940903896,186.64677302300697,3,4.077,0.9995770254754461,None,187.22976337600267,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/1742_8.png,0,0,0,0,0,32,32,14,,,191.63247781601967,191.745535871014,8,1.943,1.0010957265039906,None,192.32965092902305,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/5246_7.png,0,0,0,0,0,33,33,27,,,194.5962946600048,194.69552381604444,7,1.378,1.003213573480025,None,195.29624962504022,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/9166_6.png,0,0,0,0,0,34,34,58,,,196.9985138650518,197.11214377603028,6,1.611,1.0021876764949411,None,197.69622176099801,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/1709_2.png,0,0,0,0,0,35,35,13,,,199.62952101702103,199.7294999800506,2,1.094,1.002107639447786,None,200.3294574530446,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7410_4.png,0,0,0,0,0,36,36,47,,,201.74846637801966,201.8627786890138,3,1.694,1.0013265924644656,None,202.4452998150373,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6300_1.png,0,0,0,0,0,37,37,36,,,204.46539869904518,204.57900467101717,1,1.496,0.9998198734829202,None,205.16262151900446,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/1493_1.png,0,0,0,0,0,38,38,11,,,206.9820748900529,207.09521985502215,1,1.276,1.0021798184607178,None,207.67931103101,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6504_7.png,0,0,0,0,0,39,39,39,,,209.27837693004403,209.37838235101663,7,1.463,0.9991165794781409,None,209.97821129701333,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/673_3.png,0,0,0,0,0,40,40,3,,,211.76531813800102,211.8784354030504,3,1.394,1.001386612537317,None,212.46235242905095,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/1650_5.png,0,0,0,0,0,41,41,12,,,214.1791640560259,214.2788467920036,5,1.529,1.0002062304411083,None,214.87902423000196,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/2445_6.png,0,0,0,0,0,42,42,18,,,216.7294387120055,216.84496167604811,6,1.776,1.0018068554345518,None,217.43025335902348,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/9291_8.png,0,0,0,0,0,43,43,59,,,219.5313477370073,219.64556500402978,0,2.245,1.0014690614771098,None,220.22901009605266,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/3456_3.png,0,0,0,0,0,44,44,22,,,222.79572787001962,222.8949468540377,3,1.275,1.0000275034690276,None,223.49541487003444,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/805_4.png,0,0,0,0,0,45,45,5,,,225.09675225103274,225.19587315403624,5,5.377,1.001154131430667,None,225.7969733850332,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7433_5.png,0,0,0,0,0,46,46,48,,,231.49544345302274,231.59543092100648,5,1.562,1.0046334794606082,None,232.19601898203837,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/1072_0.png,0,0,0,0,0,47,47,9,,,234.07986090303166,234.1953800220508,0,1.912,0.9995488054701127,None,234.7779239290394,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/972_2.png,0,0,0,0,0,48,48,8,,,237.01479807804571,237.12797359202523,2,1.344,1.0003955115098506,None,237.71121252002195,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/2405_3.png,0,0,0,0,0,49,49,17,,,239.38140919501893,239.49526658304967,6,1.746,1.0002407025313005,None,240.07861242402578,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7217_8.png,0,0,0,0,0,50,50,46,,,242.1444493040326,242.2444168610382,8,2.744,1.00205555051798,None,242.84519074403215,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/267_4.png,0,0,0,0,0,51,51,2,,,245.91294413805008,246.0118009840371,4,2.579,1.0026825664681382,None,246.61181861400837,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/2704_0.png,0,0,0,0,0,52,52,20,,,249.51170486403862,249.61173701501684,0,2.729,1.004864389426075,None,250.21173858601833,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/4139_5.png,0,0,0,0,0,53,53,25,,,253.26163918402744,253.35944575001486,3,4.211,1.0011919355019927,None,253.96282158704707,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6075_3.png,0,0,0,0,0,54,54,32,,,258.4940715760458,258.59407099103555,3,1.614,1.0019974414608441,None,259.19401640305296,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/2938_2.png,0,0,0,0,0,55,55,21,,,261.12924811500125,261.24393491103547,2,1.396,1.0009784575086087,None,261.82734031701693,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7088_8.png,0,0,0,0,0,56,56,45,,,263.54396427900065,263.64521391905146,8,2.645,1.0012658404302783,None,264.24426827405114,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/772_6.png,0,0,0,0,0,57,57,4,,,267.2113372370368,267.3103001320269,6,32.459,1.003294293419458,None,267.912414549035,277.94457513000816,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/839_2.png,0,0,0,0,0,58,58,6,,,300.69312350603286,300.7938896139967,2,2.78,1.0020226304768585,None,301.3927888490143,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6149_7.png,0,0,0,0,0,59,59,34,,,304.4937868400011,304.59383892803453,7,1.979,1.0013887185486965,None,305.19378840504214,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
